datetime,real_estate_diff,real_est_ratio,real_oil,bank_cos,chemical_pharma,metal_oil_cos,retail_cash,apparel_retail,bank_diff_noHDB,bank_mcap_noHDB,bank_std_noHDB,bds_revenue,chemical_mktcap,food_EBITDA,food_industry_debt,food_prof,metal_manu_diff,real_estate_der,real_estate_turnover,security_cash,security_exp,security_mkc
2017-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.014685405802028656,0.09057055523175431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014186840960250854,0.0,0.0,0.0,-0.00793208498961258
2017-01-05,0.0,0.0,0.0,0.0,0.0,0.0,4.903193202018738e-05,-0.02067493263932228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008363252307779312,0.0,0.0,0.0,0.0
2017-01-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.011196520472507477,-0.027866424675266267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009602845278129578,0.0,0.0,0.0,-0.08064111384077835
2017-01-09,0.0,0.0,0.0,0.0,0.0,0.012375490309648515,0.0010195989557170869,-0.07112820700291443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.438986621856689e-06,-0.019685191770606996,0.0,0.0,0.3294556124748745
2017-01-10,0.0,0.0,0.006657003988407135,0.0,0.0,0.01365155937291336,-0.0051701666138706205,-0.0045769266357078555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020198728570173262,0.0033835185631408693,0.0,0.0,0.07505563764212227
2017-01-11,0.0,0.0,0.0025982447147693635,0.0,0.0,0.002960046854171753,0.004165407086769104,0.04513173745737839,0.0,0.0,0.0,0.0,0.03615524875087929,0.0,0.0,0.002516331148305893,0.0,0.0003241022270565033,-0.04830235526093292,0.0,0.0,-0.088264266783844
2017-01-12,0.0,0.0,0.00016124021954154967,0.0,0.0,-0.006938482474271774,0.0010370245404281615,-0.0006709753482723236,0.0,0.0,0.0,0.0,0.08332827401854134,0.0,0.0,0.0,0.0,-0.010099364285089493,0.03495654440430832,0.0,0.0,0.014064038912345886
2017-01-13,0.0,-0.0010244781219711304,-0.00035203710294914246,0.0,0.0,-0.005080169759248733,-0.009313854760061264,-0.04347199250427818,0.0,0.0,0.0,0.0,0.058097277222810745,-0.05687291875846863,0.0,0.0339956403512497,0.0,-1.323880605506897e-05,-0.009559197508399963,0.0,0.0,-0.0001267034197292328
2017-01-16,0.0,-0.021151707896856307,0.0026749288910369873,0.0,0.0,-0.029149550342098235,-0.01681802732954788,-0.10564289095649147,0.0,0.0,0.0,0.0,0.0010927939620132446,-0.011885748856365204,0.0,0.020920394062309264,0.0,0.010086125479036331,-0.06525333781679535,0.0,0.0,0.0
2017-01-17,0.0,-0.0009616760326576233,0.01186097079129982,0.13164156828645135,0.0,0.00733993392827034,-0.013938856502119065,0.000983057370197296,0.0,0.0,0.0,-0.0018273763984870911,-0.0765837107232132,0.08026487921875763,0.0,0.002615049257785797,0.0,-1.323880605506897e-05,0.10492415927965737,0.0,0.0,-0.0826887401768341
2017-01-18,0.0,-0.0033716590094604493,-0.010877394411001206,-0.13761718679152107,0.0,-0.005858713542917252,0.007706768854858399,-0.027922122881917952,0.0,0.0,0.0,-0.0031150173653087614,-0.02745617846706009,-0.11354294062168693,0.0,-0.01307524628894043,0.0,-0.0003373811507015228,-0.08781620571717072,0.0,0.0,-0.07639615535813904
2017-01-19,0.0,-0.0027203927682037353,-0.003058967087852478,-0.13730525387498094,0.0,-0.010523265533187866,-6.500748935508728e-05,-0.018366459362436294,0.0,0.0,0.0,-0.019115533540838243,-0.02972576798390007,-0.07958054543882179,0.0,-0.013075246288942338,0.0,-0.0009984696893939973,-0.06321836743304443,0.0,0.0,0.04532650088325691
